"95"	0.168	0.28	"STOP"
"136"	0.579	0.72	"STOP"
"94"	0.237	0.28	"STOP"
"138"	0.547	0.745	"PORT"
"64"	0.653	0.218	"STOP"
"87"	0.468	0.267	"STOP"
"5"	0.589	0.218	"STOP"
"1"	0.495	0.193	"STOP"
"105"	0.595	0.498	"STOP"
"78"	0.321	0.436	"STOP"
"119"	0.853	0.786	"STOP"
"74"	0.447	0.412	"STOP"
"127"	0.9	0.988	"PORT"
"96"	0.137	0.272	"STOP"
"82"	0.626	0.309	"STOP"
"83"	0.6	0.309	"STOP"
"86"	0.511	0.272	"STOP"
"20"	0.742	0.296	"STOP"
"149"	0.679	0.86	"STOP"
"35"	0.784	0.49	"STOP"
"44"	0.711	0.477	"STOP"
"13"	0.716	0.325	"STOP"
"14"	0.732	0.337	"STOP"
"2"	0.516	0.198	"STOP"
"51"	0.784	0.58	"STOP"
"147"	0.732	0.811	"STOP"
"129"	0.716	0.63	"STOP"
"125"	0.879	0.93	"STOP"
"41"	0.7	0.403	"ORI"
"103"	0.621	0.465	"STOP"
"80"	0.258	0.428	"STOP"
"33"	0.774	0.453	"STOP"
"30"	0.763	0.403	"STOP"
"53"	0.774	0.609	"ORI"
"58"	0.474	0.132	"STOP"
"99"	0.042	0.235	"PORT"
"142"	0.774	0.675	"STOP"
"0"	0.468	0.173	"ORI"
"63"	0.668	0.235	"STOP"
"65"	0.632	0.198	"STOP"
"110"	0.489	0.621	"PORT"
"60"	0.495	0.008	"PORT"
"50"	0.811	0.572	"ORI"
"146"	0.732	0.79	"STOP"
"93"	0.263	0.276	"STOP"
"145"	0.747	0.753	"STOP"
"16"	0.695	0.313	"STOP"
"120"	0.858	0.815	"STOP"
"31"	0.768	0.42	"STOP"
"61"	0.695	0.267	"STOP"
"46"	0.716	0.531	"STOP"
"45"	0.716	0.506	"STOP"
"43"	0.711	0.444	"STOP"
"102"	0.637	0.444	"STOP"
"89"	0.416	0.267	"STOP"
"113"	0.821	0.626	"STOP"
"49"	0.763	0.601	"STOP"
"112"	0.816	0.613	"STOP"
"23"	0.737	0.317	"STOP"
"9"	0.674	0.272	"STOP"
"4"	0.558	0.21	"STOP"
"6"	0.605	0.222	"STOP"
"55"	0.411	0.165	"STOP"
"137"	0.558	0.728	"STOP"
"130"	0.705	0.642	"STOP"
"144"	0.753	0.728	"STOP"
"143"	0.758	0.704	"STOP"
"40"	0.721	0.383	"STOP"
"15"	0.742	0.358	"STOP"
"72"	0.547	0.407	"STOP"
"100"	0.684	0.42	"STOP"
"8"	0.653	0.255	"STOP"
"81"	0.216	0.412	"PORT"
"42"	0.705	0.424	"STOP"
"79"	0.289	0.449	"STOP"
"73"	0.495	0.412	"STOP"
"7"	0.626	0.235	"STOP"
"21"	0.768	0.305	"STOP"
"85"	0.547	0.284	"STOP"
"91"	0.347	0.272	"STOP"
"97"	0.105	0.259	"STOP"
"19"	0.721	0.296	"ORI"
"148"	0.705	0.848	"STOP"
"17"	0.668	0.333	"STOP"
"18"	0.653	0.346	"STOP"
"77"	0.358	0.42	"STOP"
"47"	0.732	0.564	"STOP"
"10"	0.684	0.284	"STOP"
"36"	0.795	0.514	"STOP"
"28"	0.805	0.551	"STOP"
"150"	0.653	0.877	"STOP"
"39"	0.684	0.387	"STOP"
"38"	0.658	0.362	"STOP"
"26"	0.747	0.362	"ORI"
"70"	0.595	0.387	"STOP"
"69"	0.605	0.374	"STOP"
"122"	0.868	0.852	"STOP"
"123"	0.879	0.877	"STOP"
"62"	0.684	0.251	"STOP"
"59"	0.484	0.115	"STOP"
"111"	0.811	0.593	"STOP"
"115"	0.826	0.667	"STOP"
"75"	0.416	0.416	"STOP"
"57"	0.468	0.144	"STOP"
"141"	0.784	0.658	"STOP"
"24"	0.747	0.333	"STOP"
"104"	0.611	0.481	"STOP"
"27"	0.795	0.531	"STOP"
"32"	0.779	0.444	"STOP"
"34"	0.779	0.469	"STOP"
"134"	0.621	0.7	"STOP"
"133"	0.647	0.687	"STOP"
"98"	0.079	0.247	"STOP"
"117"	0.842	0.724	"STOP"
"56"	0.389	0.173	"PORT"
"116"	0.842	0.7	"STOP"
"126"	0.889	0.967	"STOP"
"48"	0.753	0.584	"STOP"
"107"	0.553	0.547	"STOP"
"106"	0.574	0.523	"STOP"
"109"	0.511	0.597	"STOP"
"88"	0.453	0.263	"STOP"
"22"	0.774	0.313	"STOP"
"84"	0.589	0.3	"STOP"
"90"	0.379	0.276	"STOP"
"92"	0.305	0.276	"STOP"
"114"	0.821	0.638	"STOP"
"128"	0.737	0.613	"STOP"
"52"	0.784	0.601	"STOP"
"108"	0.526	0.576	"STOP"
"140"	0.795	0.638	"STOP"
"139"	0.789	0.626	"STOP"
"67"	0.616	0.148	"PORT"
"151"	0.632	0.897	"PORT"
"37"	0.632	0.342	"ORI"
"11"	0.705	0.305	"ORI"
"12"	0.711	0.305	"STOP"
"25"	0.763	0.354	"STOP"
"121"	0.863	0.831	"STOP"
"135"	0.595	0.716	"STOP"
"132"	0.668	0.679	"STOP"
"131"	0.684	0.667	"STOP"
"3"	0.537	0.202	"STOP"
"118"	0.847	0.765	"STOP"
"124"	0.874	0.897	"STOP"
"29"	0.758	0.383	"STOP"
"68"	0.632	0.358	"STOP"
"76"	0.384	0.42	"STOP"
"71"	0.579	0.395	"STOP"
"101"	0.658	0.432	"STOP"
"54"	0.442	0.173	"STOP"
"66"	0.605	0.173	"STOP"
